symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
FB,2018-12-31,False,FY,2018,10-K,55838000000.0,24913000000.0,22111000000.0,7.65,7.57,0.0,97334000000.0,50480000000.0,7017000000.0,10019000000.0,84127000000.0,29274000000.0,-11603000000.0,-15572000000.0,0.0,18301000000.0,13915000000.0
FB,2015-03-31,False,Q1,2015,10-Q,3543000000.0,933000000.0,509000000.0,0.18,0.18,0.0,42007000000.0,15004000000.0,1746000000.0,3419000000.0,37501000000.0,1700000000.0,-2844000000.0,371000000.0,0.0,18005000000.0,502000000.0
FB,2013-12-31,False,FY,2013,10-K,7872000000.0,2804000000.0,1491000000.0,0.62,0.6,0.0,17895000000.0,13070000000.0,1100000000.0,3323000000.0,15470000000.0,4222000000.0,-2624000000.0,-667000000.0,,839000000.0,1362000000.0
FB,2015-06-30,False,Q2,2015,10-Q,4042000000.0,1273000000.0,715000000.0,0.26,0.25,0.0,44130000000.0,16951000000.0,1881000000.0,5123000000.0,39452000000.0,3580000000.0,-3408000000.0,713000000.0,0.0,18025000000.0,1051000000.0
FB,2014-06-30,False,Q2,2014,10-Q,2910000000.0,1390000000.0,788000000.0,0.31,0.3,0.0,20769000000.0,15557000000.0,1214000000.0,4384000000.0,18346000000.0,2626000000.0,-2294000000.0,732000000.0,,857000000.0,832000000.0
FB,2014-03-31,False,Q1,2014,10-Q,2502000000.0,1075000000.0,639000000.0,0.25,0.25,0.0,19028000000.0,14060000000.0,1037000000.0,2998000000.0,16737000000.0,1285000000.0,-1872000000.0,262000000.0,,840000000.0,363000000.0
FB,2015-09-30,False,Q3,2015,10-Q,4501000000.0,1459000000.0,891000000.0,0.32,0.31,0.0,46469000000.0,19139000000.0,1792000000.0,4308000000.0,41420000000.0,5772000000.0,-6708000000.0,1028000000.0,0.0,18024000000.0,1831000000.0
FB,2016-03-31,False,Q1,2016,10-Q,5382000000.0,2009000000.0,1505000000.0,0.53,0.52,0.0,52075000000.0,23812000000.0,1809000000.0,6456000000.0,47150000000.0,2983000000.0,-1676000000.0,184000000.0,0.0,18029000000.0,1132000000.0
FB,2012-06-30,False,Q2,2012,10-Q,1184000000.0,-743000000.0,-157000000.0,-0.08,-0.08,0.0,14928000000.0,11967000000.0,1034000000.0,2098000000.0,13309000000.0,683000000.0,-7170000000.0,7090000000.0,,100000000.0,866000000.0
FB,2014-12-31,False,FY,2014,10-K,12466000000.0,4994000000.0,2925000000.0,1.12,1.1,0.0,40184000000.0,13670000000.0,1424000000.0,4315000000.0,36096000000.0,5457000000.0,-5913000000.0,1571000000.0,0.0,17981000000.0,1831000000.0
FB,2015-12-31,False,FY,2015,10-K,17928000000.0,6225000000.0,3669000000.0,1.31,1.29,0.0,49407000000.0,21652000000.0,1925000000.0,4907000000.0,44218000000.0,8599000000.0,-9434000000.0,1582000000.0,0.0,18026000000.0,2523000000.0
FB,2014-09-30,False,Q3,2014,10-Q,3203000000.0,1397000000.0,802000000.0,0.31,0.3,0.0,24188000000.0,16115000000.0,1234000000.0,8999000000.0,21238000000.0,3874000000.0,703000000.0,1170000000.0,0.0,2612000000.0,1314000000.0
FB,2016-09-30,False,Q3,2016,10-Q,7011000000.0,3122000000.0,2373000000.0,0.83,0.82,0.0,59674000000.0,30328000000.0,2595000000.0,6038000000.0,54115000000.0,9758000000.0,-9764000000.0,1106000000.0,0.0,18085000000.0,3222000000.0
FB,2012-09-30,False,Q3,2012,10-Q,1262000000.0,377000000.0,-59000000.0,0.02,0.02,0.0,16038000000.0,12285000000.0,1080000000.0,2478000000.0,14174000000.0,931000000.0,-7559000000.0,7597000000.0,,590000000.0,1037000000.0
FB,2016-12-31,False,FY,2016,10-K,27638000000.0,12427000000.0,10188000000.0,3.56,3.49,0.0,64961000000.0,34401000000.0,2875000000.0,8903000000.0,59194000000.0,16108000000.0,-11739000000.0,-310000000.0,0.0,18122000000.0,4491000000.0
FB,2016-06-30,False,Q2,2016,10-Q,6436000000.0,2746000000.0,2048000000.0,0.72,0.71,0.0,55739000000.0,27010000000.0,2211000000.0,5108000000.0,50383000000.0,6181000000.0,-6647000000.0,655000000.0,0.0,18043000000.0,2127000000.0
FB,2013-03-31,False,Q1,2013,10-Q,1458000000.0,373000000.0,217000000.0,0.09,0.09,0.0,15163000000.0,11042000000.0,1063000000.0,2325000000.0,11824000000.0,719000000.0,-326000000.0,-444000000.0,,654000000.0,327000000.0
FB,2012-12-31,False,FY,2012,10-K,5089000000.0,538000000.0,32000000.0,0.02,0.01,0.0,15103000000.0,11267000000.0,1052000000.0,2384000000.0,11755000000.0,1612000000.0,-7024000000.0,6283000000.0,,587000000.0,1235000000.0
FB,2013-06-30,False,Q2,2013,10-Q,1813000000.0,562000000.0,331000000.0,0.14,0.13,0.0,15724000000.0,11421000000.0,1080000000.0,3001000000.0,12349000000.0,2041000000.0,-824000000.0,-593000000.0,,762000000.0,595000000.0
FB,2017-03-31,False,Q1,2017,10-Q,8032000000.0,3327000000.0,3059000000.0,1.06,1.04,0.0,68714000000.0,36930000000.0,2928000000.0,7104000000.0,62188000000.0,5058000000.0,-5891000000.0,-992000000.0,0.0,18126000000.0,1271000000.0
FB,2017-09-30,False,Q3,2017,10-Q,10328000000.0,5122000000.0,4704000000.0,1.62,1.59,0.0,78998000000.0,44203000000.0,3305000000.0,7201000000.0,71208000000.0,16545000000.0,-15045000000.0,-3392000000.0,0.0,18213000000.0,4470000000.0
FB,2018-03-31,False,Q1,2018,10-Q,11966000000.0,5449000000.0,4987000000.0,1.72,1.69,0.0,88945000000.0,50412000000.0,5086000000.0,12082000000.0,77620000000.0,7860000000.0,-1287000000.0,-2603000000.0,0.0,18268000000.0,2812000000.0
FB,2013-09-30,False,Q3,2013,10-Q,2016000000.0,736000000.0,422000000.0,0.17,0.17,0.0,14933000000.0,10549000000.0,984000000.0,3100000000.0,13048000000.0,2991000000.0,-90000000.0,-2192000000.0,,762000000.0,879000000.0
FB,2017-12-31,False,FY,2017,10-K,40653000000.0,20203000000.0,15920000000.0,5.49,5.39,0.0,84524000000.0,48563000000.0,3760000000.0,8079000000.0,74347000000.0,24216000000.0,-20038000000.0,-5235000000.0,0.0,18221000000.0,6733000000.0
FB,2017-06-30,False,Q2,2017,10-Q,9321000000.0,4401000000.0,3890000000.0,1.34,1.32,0.0,73843000000.0,40804000000.0,3315000000.0,6252000000.0,66481000000.0,10418000000.0,-11331000000.0,-1861000000.0,0.0,18129000000.0,2715000000.0
