symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
KO,2011-12-31,False,FY,2011,10-K,46542000000.0,10154000000.0,8572000000.0,3.75,3.69,1.88,79974000000.0,25497000000.0,24283000000.0,12803000000.0,31921000000.0,9474000000.0,-2524000000.0,-2234000000.0,15697000000.0,12219000000.0,2920000000.0
KO,2010-04-02,False,Q1,2010,10-Q,7525000000.0,2183000000.0,1614000000.0,0.7,0.69,0.44,47403000000.0,17208000000.0,13583000000.0,5684000000.0,25157000000.0,1326000000.0,-1368000000.0,-1043000000.0,,3905000000.0,393000000.0
KO,2010-07-02,False,Q2,2010,10-Q,8674000000.0,2763000000.0,2369000000.0,1.03,1.02,0.44,48444000000.0,18574000000.0,13934000000.0,7735000000.0,25808000000.0,4310000000.0,-1338000000.0,-1875000000.0,4971000000.0,3810000000.0,893000000.0
KO,2010-10-01,False,Q3,2010,10-Q,8426000000.0,2344000000.0,2055000000.0,0.89,0.88,0.44,54089000000.0,23105000000.0,17271000000.0,10509000000.0,28201000000.0,7224000000.0,-2713000000.0,-885000000.0,5003000000.0,3882000000.0,1335000000.0
KO,2011-07-01,False,Q2,2011,10-Q,12737000000.0,3174000000.0,2797000000.0,1.22,1.2,0.47,80090000000.0,26539000000.0,24194000000.0,10166000000.0,35424000000.0,3642000000.0,-2328000000.0,30000000.0,13859000000.0,12004000000.0,1190000000.0
KO,2018-12-31,False,FY,2018,10-K,31856000000.0,8700000000.0,6434000000.0,1.51,1.5,1.56,83216000000.0,30634000000.0,29223000000.0,8926000000.0,19058000000.0,7320000000.0,6348000000.0,-10552000000.0,30361000000.0,10263000000.0,1347000000.0
KO,2011-09-30,False,Q3,2011,10-Q,12248000000.0,2750000000.0,2221000000.0,0.97,0.95,0.47,81753000000.0,28191000000.0,25581000000.0,12682000000.0,33499000000.0,6800000000.0,-3414000000.0,1176000000.0,15790000000.0,12073000000.0,1915000000.0
KO,2012-03-30,False,Q1,2012,10-Q,11137000000.0,2509000000.0,2054000000.0,0.91,0.89,0.51,83897000000.0,28023000000.0,24846000000.0,10664000000.0,33218000000.0,493000000.0,-4883000000.0,1922000000.0,17740000000.0,12344000000.0,592000000.0
KO,2010-12-31,False,FY,2010,10-K,35119000000.0,8449000000.0,11809000000.0,5.12,5.06,1.76,72921000000.0,21579000000.0,18508000000.0,8517000000.0,31317000000.0,9532000000.0,-4405000000.0,-3465000000.0,15317000000.0,11665000000.0,2215000000.0
KO,2013-03-29,False,Q1,2013,10-Q,11035000000.0,2408000000.0,1751000000.0,0.39,0.39,0.28,88450000000.0,31519000000.0,31102000000.0,9162000000.0,32894000000.0,478000000.0,-1218000000.0,1435000000.0,18796000000.0,12291000000.0,498000000.0
KO,2013-09-27,False,Q3,2013,10-Q,12030000000.0,2472000000.0,2447000000.0,0.55,0.54,0.28,89432000000.0,31576000000.0,33042000000.0,11118000000.0,32465000000.0,7712000000.0,-2983000000.0,-1383000000.0,17367000000.0,12412000000.0,1625000000.0
KO,2013-06-28,False,Q2,2013,10-Q,12749000000.0,3243000000.0,2676000000.0,0.6,0.59,0.28,89511000000.0,32572000000.0,32469000000.0,9406000000.0,32631000000.0,3956000000.0,-2708000000.0,136000000.0,17372000000.0,12657000000.0,1069000000.0
KO,2011-04-01,False,Q1,2011,10-Q,10517000000.0,2279000000.0,1900000000.0,0.83,0.82,0.47,76058000000.0,23542000000.0,21923000000.0,9075000000.0,32596000000.0,458000000.0,-1047000000.0,986000000.0,14095000000.0,11949000000.0,589000000.0
KO,2012-09-28,False,Q3,2012,10-Q,12340000000.0,2793000000.0,2311000000.0,0.51,0.5,0.255,86654000000.0,29712000000.0,27008000000.0,9615000000.0,33590000000.0,7840000000.0,-10399000000.0,-399000000.0,16522000000.0,12381000000.0,1971000000.0
KO,2012-06-29,False,Q2,2012,10-Q,13085000000.0,3294000000.0,2788000000.0,1.24,1.21,0.51,85149000000.0,29325000000.0,26482000000.0,9337000000.0,32629000000.0,4178000000.0,-8560000000.0,1148000000.0,16518000000.0,12357000000.0,1305000000.0
KO,2012-12-31,False,FY,2012,10-K,48017000000.0,10779000000.0,9019000000.0,2.0,1.97,1.02,86174000000.0,30328000000.0,27821000000.0,8442000000.0,33168000000.0,10645000000.0,-11404000000.0,-3347000000.0,16313000000.0,12255000000.0,2780000000.0
KO,2009-07-03,False,Q2,2009,10-Q,8267000000.0,2438000000.0,2037000000.0,0.88,0.88,0.41,46054000000.0,16372000000.0,13567000000.0,7647000000.0,23517000000.0,3662000000.0,-1164000000.0,142000000.0,,4092000000.0,980000000.0
KO,2014-03-28,False,Q1,2014,10-Q,10576000000.0,2376000000.0,1619000000.0,0.37,0.36,0.305,91289000000.0,31052000000.0,30056000000.0,9131000000.0,32922000000.0,1066000000.0,-2213000000.0,205000000.0,20191000000.0,12343000000.0,449000000.0
KO,2009-12-31,False,FY,2009,10-K,30990000000.0,8231000000.0,6824000000.0,2.95,2.93,1.64,48671000000.0,17551000000.0,13721000000.0,7021000000.0,25346000000.0,8186000000.0,-4149000000.0,-2293000000.0,,4224000000.0,1993000000.0
KO,2009-10-02,False,Q3,2009,10-Q,8044000000.0,2150000000.0,1896000000.0,0.82,0.81,0.41,47107000000.0,16992000000.0,13410000000.0,8846000000.0,24422000000.0,6270000000.0,-1560000000.0,-884000000.0,,4100000000.0,1399000000.0
KO,2014-09-26,False,Q3,2014,10-Q,11976000000.0,2711000000.0,2114000000.0,0.48,0.48,0.305,96314000000.0,35452000000.0,32760000000.0,11084000000.0,33669000000.0,7979000000.0,-6558000000.0,-196000000.0,22635000000.0,12188000000.0,1618000000.0
KO,2013-12-31,False,FY,2013,10-K,46854000000.0,10228000000.0,8584000000.0,1.94,1.9,1.12,90055000000.0,31304000000.0,27811000000.0,10414000000.0,33440000000.0,10542000000.0,-4214000000.0,-3745000000.0,20178000000.0,12312000000.0,2550000000.0
KO,2015-04-03,False,Q1,2015,10-Q,10711000000.0,2296000000.0,1557000000.0,0.36,0.35,0.33,91016000000.0,32119000000.0,26123000000.0,8211000000.0,29078000000.0,1574000000.0,-812000000.0,-1177000000.0,28127000000.0,11993000000.0,516000000.0
KO,2014-06-27,False,Q2,2014,10-Q,12574000000.0,3170000000.0,2595000000.0,0.59,0.58,0.305,95489000000.0,33871000000.0,32629000000.0,11618000000.0,34301000000.0,4470000000.0,-3128000000.0,62000000.0,20162000000.0,12296000000.0,1030000000.0
KO,2015-07-03,False,Q2,2015,10-Q,12156000000.0,2535000000.0,3108000000.0,0.71,0.71,0.33,93538000000.0,32803000000.0,28852000000.0,8805000000.0,28641000000.0,5118000000.0,-3756000000.0,-1130000000.0,28008000000.0,11706000000.0,1114000000.0
KO,2015-12-31,False,FY,2015,10-K,44294000000.0,8728000000.0,7351000000.0,1.69,1.67,1.32,90093000000.0,33395000000.0,26930000000.0,7309000000.0,25764000000.0,10528000000.0,-6186000000.0,-5113000000.0,31084000000.0,11289000000.0,2553000000.0
KO,2014-12-31,False,FY,2014,10-K,45998000000.0,9708000000.0,7098000000.0,1.62,1.6,1.22,92023000000.0,32986000000.0,32374000000.0,8958000000.0,30561000000.0,10615000000.0,-7506000000.0,-3631000000.0,22615000000.0,12100000000.0,2406000000.0
KO,2016-07-01,False,Q2,2016,10-Q,11539000000.0,2859000000.0,3448000000.0,0.8,0.79,0.35,94094000000.0,35873000000.0,29544000000.0,9647000000.0,26838000000.0,3820000000.0,-937000000.0,-783000000.0,34147000000.0,11204000000.0,1085000000.0
KO,2015-10-02,False,Q3,2015,10-Q,11427000000.0,2379000000.0,1449000000.0,0.33,0.33,0.33,93008000000.0,36594000000.0,31545000000.0,9983000000.0,26267000000.0,8390000000.0,-5413000000.0,-1178000000.0,28641000000.0,11357000000.0,1670000000.0
KO,2016-04-01,False,Q1,2016,10-Q,10282000000.0,2141000000.0,1483000000.0,0.34,0.34,0.35,91263000000.0,36510000000.0,30987000000.0,8748000000.0,25129000000.0,604000000.0,348000000.0,399000000.0,31946000000.0,11396000000.0,536000000.0
KO,2016-12-31,False,FY,2016,10-K,41863000000.0,8626000000.0,6527000000.0,1.51,1.49,1.4,87270000000.0,34010000000.0,26532000000.0,8555000000.0,23220000000.0,8796000000.0,-999000000.0,-6545000000.0,33211000000.0,10629000000.0,2262000000.0
KO,2017-03-31,False,Q1,2017,10-Q,9118000000.0,1982000000.0,1182000000.0,0.28,0.27,0.37,91201000000.0,40251000000.0,28656000000.0,12120000000.0,23067000000.0,788000000.0,1039000000.0,1535000000.0,33723000000.0,10008000000.0,442000000.0
KO,2016-09-30,False,Q3,2016,10-Q,10633000000.0,2271000000.0,1046000000.0,0.24,0.24,0.35,93927000000.0,37956000000.0,27792000000.0,11147000000.0,26245000000.0,6723000000.0,-1333000000.0,-1783000000.0,35136000000.0,10865000000.0,1561000000.0
